;Stemming
0;pesan gusdur jabat ikhlas prabowo
1;sambung sesi debat panggung ngawur
2;teori penting ikhlas britulah sosok pimpin idolakanbrsiapapun presiden semga bawa indonesia maju
3;anak muda indonesia butuh pimpin pandai rangkai bukti nyataprabowo
4;refleksi pakde reall bismillah indonesia butuh
7;koran kompas asih berita bijak prabowo menteri tahan halaman penuh tertawa nama prabowo pandai debat pandai aspirasi gagas singkat butuh besok presiden bijak cepat bawa asa negara diarahin mana
10;tertawa tertawa sesuai kakak najwa bilang kohona brapalagi jurnalis
12;gibran debat komisi pilih umum ayo tantang gibran kampuskampus gibran hadap debat gaya bebas kampusklo mahasiswa bilang gibran oke oke jugabagaimana kakak gibran berani ta tunggu iya
13;masyaallah anies moga allah izin pimpin indonesia
15;suruh kaca bicara dengar rakyat indonesia calon pimpin
19;anies terbaikbrpaket komplitbrsiap bawa indonesia maju nasional internasional
21;air turun kebumimaka masuk kebumibrsalah gagas anies lawan sunatullah
22;cerdas prinsip kokoh diri mudah ubah rakyat makasih anies presiden serius
25;ikhlas rakyat indonesia prabowo bikin ikhlas rakyat indonesiabr kutip presiden republik indonesia kah abdurrahman wahid gus dur
28;mudah pupuk subsidi prabowo brpetani sumber pangan indonesia
29;gagas pupuk anies lihat kakak
30;terima kasih universitas gajah mada mata najwa mantap pilih anies beliau ungkap opini realita depan adil masyarakat pandang status sosial bismillah amin presiden allahuakbar
31;tani modal mahal pupuk sulit mahal
32;bajo balijowo indonesia sukses pilih umum presiden semangat indonesia
33;anies ganteng pintar sholeh coba sekolah tertawa
34;pimpin cerdas cerdas bodoh rakyat brbrciri pimpin tulus cinta rakyat fokus sejahtera rakyat fokus olah debat
35;orang masalah pilih ketimbang bobot gagas ubah baik kualitas manusia indonesia sejahtera rakyat butuh gagas implementasi gagas
37;pintar omong doang gaya mata senyum bohong keliaatan tulus
39;tulus pintar presiden jabat main pintar
43;rakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia
44;presiden prabowobrtapi wakil presiden aniesbrbrbingung pilih prabowo anies dilema
45;kakak prabowo timbang anies gagas prestasi tertawa
49;ganjar baperan kakak nana politik identitas biaya partai apbn
50;calon presiden kompeten visioner anies entar pilih iya prabowo biar demo sesuai orba biar seru
52;anies baik gagas mengutmakan konsep keadilam tara masyarakat indonesia brsemoga birokrasi kait urus sertifikat tanah indonesia dipermudshah
54;kasihan pabowo sepuh istirahat mawon banyak ibadah
56;kasih data masyarakat takut dapat ganjar indonesia nilai bebas dapat konsisten keras kepala
58;dengar suara prabowo karno wibawa
59;iya lihat ganjar muka sinis enak
60;ganjar jokowi partai demokrasi indonesia baca iya atur nenek lampir prabowo ngrbol pakai baca
61;woooooy sahrul gunawan tayang adzan
62;tunggu kakak calon presiden bicara gagas
63;ganjar main jawab harap dukung pakde boongin pakde anak
64;anies gagas cerdas struktur besok pilih lupa nggalah laporpak bilang lupa dijanjiin
65;beda jakarta buka terus program ahok rusak jalan mulus dilobangi awat
68;malu prabowo sambut anak sdbremang cocok prabowo sifat anak sd
