Stemming,label
pesan gusdur jabat ikhlas prabowo,positive
sambung sesi debat panggung ngawur,negative
teori penting ikhlas britulah sosok pimpin idolakanbrsiapapun presiden semga bawa indonesia maju,positive
anak muda indonesia butuh pimpin pandai rangkai bukti nyataprabowo,neutral
refleksi pakde reall bismillah indonesia butuh,neutral
koran kompas asih berita bijak prabowo menteri tahan halaman penuh tertawa nama prabowo pandai debat pandai aspirasi gagas singkat butuh besok presiden bijak cepat bawa asa negara diarahin mana,neutral
tertawa tertawa sesuai kakak najwa bilang kohona brapalagi jurnalis,positive
gibran debat komisi pilih umum ayo tantang gibran kampuskampus gibran hadap debat gaya bebas kampusklo mahasiswa bilang gibran oke oke jugabagaimana kakak gibran berani ta tunggu iya,neutral
masyaallah anies moga allah izin pimpin indonesia,positive
suruh kaca bicara dengar rakyat indonesia calon pimpin,negative
anies terbaikbrpaket komplitbrsiap bawa indonesia maju nasional internasional,positive
air turun kebumimaka masuk kebumibrsalah gagas anies lawan sunatullah,negative
cerdas prinsip kokoh diri mudah ubah rakyat makasih anies presiden serius,positive
ikhlas rakyat indonesia prabowo bikin ikhlas rakyat indonesiabr kutip presiden republik indonesia kah abdurrahman wahid gus dur,neutral
mudah pupuk subsidi prabowo brpetani sumber pangan indonesia,neutral
gagas pupuk anies lihat kakak,negative
terima kasih universitas gajah mada mata najwa mantap pilih anies beliau ungkap opini realita depan adil masyarakat pandang status sosial bismillah amin presiden allahuakbar,positive
tani modal mahal pupuk sulit mahal,negative
bajo balijowo indonesia sukses pilih umum presiden semangat indonesia,neutral
anies ganteng pintar sholeh coba sekolah tertawa,positive
pimpin cerdas cerdas bodoh rakyat brbrciri pimpin tulus cinta rakyat fokus sejahtera rakyat fokus olah debat,positive
orang masalah pilih ketimbang bobot gagas ubah baik kualitas manusia indonesia sejahtera rakyat butuh gagas implementasi gagas,negative
pintar omong doang gaya mata senyum bohong keliaatan tulus,negative
tulus pintar presiden jabat main pintar,neutral
rakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia,positive
presiden prabowobrtapi wakil presiden aniesbrbrbingung pilih prabowo anies dilema,neutral
kakak prabowo timbang anies gagas prestasi tertawa,neutral
ganjar baperan kakak nana politik identitas biaya partai apbn,neutral
calon presiden kompeten visioner anies entar pilih iya prabowo biar demo sesuai orba biar seru,neutral
anies baik gagas mengutmakan konsep keadilam tara masyarakat indonesia brsemoga birokrasi kait urus sertifikat tanah indonesia dipermudshah,positive
kasihan pabowo sepuh istirahat mawon banyak ibadah,neutral
kasih data masyarakat takut dapat ganjar indonesia nilai bebas dapat konsisten keras kepala,neutral
dengar suara prabowo karno wibawa,positive
iya lihat ganjar muka sinis enak,negative
ganjar jokowi partai demokrasi indonesia baca iya atur nenek lampir prabowo ngrbol pakai baca,neutral
