;text;label
0;pesan gusdur jabat ikhlas prabowo;positive
1;sambung sesi debat panggung ngawur;negative
2;teori penting ikhlas britulah sosok pimpin idolakanbrsiapapun presiden semga bawa indonesia maju;positive
3;anak muda indonesia butuh pimpin pandai rangkai bukti nyataprabowo;neutral
4;refleksi pakde reall bismillah indonesia butuh;neutral
5;koran kompas asih berita bijak prabowo menteri tahan halaman penuh tertawa nama prabowo pandai debat pandai aspirasi gagas singkat butuh besok presiden bijak cepat bawa asa negara diarahin mana;neutral
6;tertawa tertawa sesuai kakak najwa bilang kohona brapalagi jurnalis;positive
7;gibran debat komisi pilih umum ayo tantang gibran kampuskampus gibran hadap debat gaya bebas kampusklo mahasiswa bilang gibran oke oke jugabagaimana kakak gibran berani ta tunggu iya;neutral
8;masyaallah anies moga allah izin pimpin indonesia;positive
9;suruh kaca bicara dengar rakyat indonesia calon pimpin;negative
10;anies terbaikbrpaket komplitbrsiap bawa indonesia maju nasional internasional;positive
11;air turun kebumimaka masuk kebumibrsalah gagas anies lawan sunatullah;negative
12;cerdas prinsip kokoh diri mudah ubah rakyat makasih anies presiden serius;positive
13;ikhlas rakyat indonesia prabowo bikin ikhlas rakyat indonesiabr kutip presiden republik indonesia kah abdurrahman wahid gus dur;neutral
14;mudah pupuk subsidi prabowo brpetani sumber pangan indonesia;neutral
15;gagas pupuk anies lihat kakak;negative
16;terima kasih universitas gajah mada mata najwa mantap pilih anies beliau ungkap opini realita depan adil masyarakat pandang status sosial bismillah amin presiden allahuakbar;positive
17;tani modal mahal pupuk sulit mahal;negative
18;bajo balijowo indonesia sukses pilih umum presiden semangat indonesia;neutral
19;anies ganteng pintar sholeh coba sekolah tertawa;positive
20;pimpin cerdas cerdas bodoh rakyat brbrciri pimpin tulus cinta rakyat fokus sejahtera rakyat fokus olah debat;positive
21;orang masalah pilih ketimbang bobot gagas ubah baik kualitas manusia indonesia sejahtera rakyat butuh gagas implementasi gagas;negative
22;pintar omong doang gaya mata senyum bohong keliaatan tulus;negative
23;tulus pintar presiden jabat main pintar;neutral
24;rakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia brrakyat dukung amin indonesia;positive
25;presiden prabowobrtapi wakil presiden aniesbrbrbingung pilih prabowo anies dilema;neutral
26;kakak prabowo timbang anies gagas prestasi tertawa;neutral
27;ganjar baperan kakak nana politik identitas biaya partai apbn;neutral
28;calon presiden kompeten visioner anies entar pilih iya prabowo biar demo sesuai orba biar seru;neutral
29;anies baik gagas mengutmakan konsep keadilam tara masyarakat indonesia brsemoga birokrasi kait urus sertifikat tanah indonesia dipermudshah;positive
30;kasihan pabowo sepuh istirahat mawon banyak ibadah;neutral
